#   Data imported from folder=prg HD:Users:ilavsky:Documents:Experiments:ESRF SAXS experiment 5 2008:data colloids:
#   Data file name=colloids_0_0008.dat
#   q[nm-1]colloids_0_0008_Spheres-0.42_trm=0.581773
#   Exported=Sat, Aug 30, 2008 7:28:13 AM
Q_colloids_0_0008	R_colloids_0_0008	S_colloids_0_0008
0.240582	0.485117	0.6965034
0.240921	0.484729	0.6962248
0.24126	0.489042	0.6993154
0.241599	0.482799	0.6948374
0.241938	0.493101	0.7022115
0.242277	0.489048	0.6993197
0.242616	0.492879	0.7020534
0.242955	0.495838	0.7041577
0.243294	0.480765	0.6933722
0.243633	0.482545	0.6946546
0.243973	0.475748	0.6897449
0.244312	0.4714	0.6865857
0.244651	0.476084	0.6899884
0.24499	0.450185	0.6709583
0.245329	0.435794	0.660147
0.245668	0.43131	0.656742
0.246007	0.414897	0.644125
0.246346	0.405649	0.6369058
0.246685	0.388478	0.62328
0.247024	0.381333	0.6175216
0.247363	0.369763	0.6080814
0.247702	0.381882	0.6179661
0.248042	0.378646	0.6153422
0.248381	0.375608	0.6128687
0.24872	0.36482	0.6040033
0.249059	0.341926	0.5847444
0.249398	0.331893	0.5761015
0.249737	0.316665	0.56273
0.250076	0.30337	0.5507904
0.250415	0.30497	0.5522409
0.250754	0.30027	0.547969
0.251093	0.288304	0.5369395
0.251432	0.271035	0.5206102
0.251771	0.272048	0.5215822
0.252111	0.260133	0.5100324
0.25245	0.252625	0.5026181
0.252789	0.262884	0.5127221
0.253128	0.252757	0.5027494
0.253467	0.253097	0.5030875
0.253806	0.264236	0.5140389
0.254145	0.239979	0.4898765
0.254484	0.211597	0.4599967
0.254823	0.182592	0.4273078
0.255162	0.190988	0.4370217
0.255501	0.188648	0.4343363
0.25584	0.196251	0.4430023
0.25618	0.198605	0.4456512
0.256519	0.192743	0.4390251
0.256858	0.184341	0.4293495
0.257197	0.18292	0.4276915
0.257536	0.174274	0.4174614
0.257875	0.182835	0.4275921
0.258214	0.209331	0.457527
0.258553	0.199701	0.4468792
0.258892	0.186683	0.4320683
0.259231	0.186912	0.4323332
0.25957	0.178226	0.4221682
0.259909	0.174217	0.4173931
0.260248	0.175329	0.418723
0.260588	0.18377	0.428684
0.260927	0.178863	0.422922
0.261266	0.181539	0.4260739
0.261605	0.18232	0.4269895
0.261944	0.189812	0.4356742
0.262283	0.190538	0.4365066
0.262622	0.191499	0.437606
0.262961	0.212644	0.4611334
0.2633	0.22047	0.4695423
0.263639	0.219174	0.4681602
0.263978	0.225691	0.4750695
0.264317	0.230511	0.4801156
0.264657	0.242364	0.4923048
0.264996	0.244656	0.4946271
0.265335	0.23998	0.4898775
0.265674	0.242114	0.4920508
0.266013	0.245093	0.4950687
0.266352	0.245983	0.4959667
0.266691	0.254612	0.5045909
0.26703	0.262029	0.5118877
0.267369	0.262753	0.5125944
0.267708	0.255874	0.5058399
0.268047	0.261884	0.511746
0.268386	0.266168	0.5159147
0.268726	0.255935	0.5059002
0.269065	0.245745	0.4957267
0.269404	0.250492	0.5004917
0.269743	0.262142	0.5119981
0.270082	0.266317	0.5160591
0.270421	0.265628	0.5153911
0.27076	0.257972	0.5079094
0.271099	0.271698	0.5212466
0.271438	0.276592	0.5259202
0.271777	0.275077	0.5244778
0.272116	0.278287	0.5275291
0.272455	0.274257	0.5236955
0.272795	0.28005	0.5291975
0.273134	0.276891	0.5262043
0.273473	0.28033	0.529462
0.273812	0.267923	0.5176128
0.274151	0.260181	0.5100794
0.27449	0.252712	0.5027047
0.274829	0.262698	0.5125407
0.275168	0.253044	0.5030348
0.275507	0.27279	0.522293
0.275846	0.266969	0.5166904
0.276185	0.260362	0.5102568
0.276524	0.246608	0.4965964
0.276863	0.229382	0.4789384
0.277203	0.227135	0.4765868
0.277542	0.223308	0.4725547
0.277881	0.220567	0.4696456
0.27822	0.214281	0.462905
0.278559	0.215863	0.4646106
0.278898	0.207665	0.4557028
0.279237	0.213206	0.4617423
0.279576	0.207859	0.4559156
0.279915	0.203978	0.4516392
0.280254	0.185994	0.4312702
0.280593	0.178659	0.4226807
0.280932	0.176608	0.4202476
0.281272	0.178957	0.4230331
0.281611	0.175253	0.4186323
0.28195	0.169929	0.4122244
0.282289	0.170538	0.4129625
0.282628	0.168029	0.4099134
0.282967	0.153321	0.3915623
0.283306	0.154486	0.3930471
0.283645	0.144826	0.3805601
0.283984	0.152104	0.3900051
0.284323	0.154092	0.3925456
0.284662	0.139047	0.3728901
0.285001	0.135432	0.3680109
0.28534	0.137769	0.3711725
0.28568	0.149908	0.3871796
0.286019	0.151201	0.3888457
0.286358	0.134435	0.3666538
0.286697	0.118365	0.3440422
0.287036	0.115311	0.3395747
0.287375	0.127437	0.3569832
0.287714	0.141959	0.3767745
0.288053	0.14377	0.3791701
0.288392	0.134227	0.36637
0.288731	0.128713	0.3587659
0.28907	0.127893	0.3576213
0.289409	0.124796	0.3532648
0.289749	0.128904	0.359032
0.290088	0.122156	0.3495082
0.290427	0.133983	0.3660369
0.290766	0.13	0.3605551
0.291105	0.113784	0.3373188
0.291444	0.125029	0.3535944
0.291783	0.134541	0.3667983
0.292122	0.128735	0.3587966
0.292461	0.126277	0.3553548
0.2928	0.128697	0.3587436
0.293139	0.140262	0.3745157
0.293478	0.137611	0.3709596
0.293817	0.144341	0.3799224
0.294157	0.139118	0.3729852
0.294496	0.142381	0.3773341
0.294835	0.152762	0.3908478
0.295174	0.150834	0.3883735
0.295513	0.14761	0.3842005
0.295852	0.144693	0.3803853
0.296191	0.152968	0.3911113
0.29653	0.150733	0.3882435
0.296869	0.148942	0.38593
0.297208	0.14977	0.3870013
0.297547	0.158102	0.3976204
0.297886	0.167587	0.4093739
0.298226	0.157539	0.3969118
0.298565	0.153003	0.391156
0.298904	0.158595	0.3982399
0.299243	0.168056	0.4099463
0.299582	0.161381	0.4017226
0.299921	0.166641	0.4082169
0.30026	0.151395	0.3890951
0.300599	0.155478	0.394307
0.300938	0.171076	0.4136133
0.301277	0.166468	0.4080049
0.301616	0.1652	0.406448
0.301955	0.168219	0.4101451
