#   Data imported from folder=prg HD:Users:ilavsky:Documents:Experiments:ESRF SAXS experiment 5 2008:data colloids:
#   Data file name=colloids_0_0005.dat
#   q[nm-1]colloids_0_0005_Spheres-0.05_trm=0.537848
#   Exported=Sat, Aug 30, 2008 7:27:59 AM
Q_colloids_0_0005	R_colloids_0_0005	S_colloids_0_0005
0.15615	0.501245	0.7079866
0.156489	0.494311	0.7030725
0.156828	0.485831	0.6970158
0.157167	0.466161	0.6827598
0.157506	0.448194	0.6694729
0.157845	0.432725	0.6578184
0.158184	0.413821	0.6432892
0.158523	0.402915	0.6347558
0.158862	0.391721	0.6258762
0.159202	0.373692	0.6113035
0.159541	0.360732	0.6006097
0.15988	0.351689	0.5930337
0.160219	0.340442	0.5834741
0.160558	0.327843	0.5725757
0.160897	0.319325	0.5650885
0.161236	0.297822	0.5457307
0.161575	0.285282	0.5341179
0.161914	0.276192	0.5255398
0.162253	0.262761	0.5126022
0.162592	0.257984	0.5079213
0.162931	0.249599	0.4995988
0.163271	0.243232	0.4931855
0.16361	0.235883	0.4856779
0.163949	0.224386	0.473694
0.164288	0.219103	0.4680844
0.164627	0.218972	0.4679444
0.164966	0.212731	0.4612277
0.165305	0.209241	0.4574287
0.165644	0.204961	0.4527262
0.165983	0.202753	0.450281
0.166322	0.202149	0.4496098
0.166661	0.201144	0.4484908
0.167	0.206451	0.4543688
0.16734	0.206304	0.454207
0.167679	0.202206	0.4496732
0.168018	0.20329	0.4508769
0.168357	0.207616	0.455649
0.168696	0.209427	0.4576319
0.169035	0.212414	0.4608839
0.169374	0.212698	0.4611919
0.169713	0.217439	0.4663036
0.170052	0.221188	0.4703063
0.170391	0.22176	0.470914
0.17073	0.22546	0.4748263
0.17107	0.230123	0.4797114
0.171409	0.231833	0.4814904
0.171748	0.234011	0.4837468
0.172087	0.241017	0.4909348
0.172426	0.249316	0.4993155
0.172765	0.258244	0.5081772
0.173104	0.261247	0.5111233
0.173443	0.260641	0.5105301
0.173782	0.266046	0.5157965
0.174121	0.278487	0.5277187
0.17446	0.284815	0.5336806
0.174799	0.288066	0.5367178
0.175139	0.294487	0.5426666
0.175478	0.295849	0.54392
0.175817	0.297838	0.5457454
0.176156	0.298353	0.546217
0.176495	0.310023	0.5567971
0.176834	0.31681	0.5628588
0.177173	0.320893	0.5664742
0.177512	0.314477	0.5607825
0.177851	0.317631	0.5635876
0.17819	0.325689	0.5706917
0.178529	0.328376	0.573041
0.178868	0.329748	0.5742369
0.179208	0.33072	0.5750826
0.179547	0.330804	0.5751556
0.179886	0.322497	0.5678882
0.180225	0.321807	0.5672804
0.180564	0.323818	0.5690501
0.180903	0.32055	0.5661713
0.181242	0.315438	0.5616387
0.181581	0.315774	0.5619377
0.18192	0.315304	0.5615194
0.182259	0.316326	0.5624287
0.182598	0.314546	0.560844
0.182937	0.31123	0.5578799
0.183277	0.31072	0.5574226
0.183616	0.306062	0.5532287
0.183955	0.294314	0.5425071
0.184294	0.286364	0.5351299
0.184633	0.281896	0.5309388
0.184972	0.271864	0.5214058
0.185311	0.262628	0.5124725
0.18565	0.266799	0.5165259
0.185989	0.261899	0.5117607
0.186328	0.25147	0.5014678
0.186667	0.247558	0.497552
0.187007	0.239665	0.4895559
0.187346	0.234162	0.4839029
0.187685	0.231119	0.4807484
0.188024	0.225419	0.4747831
0.188363	0.22083	0.4699255
0.188702	0.220176	0.4692292
0.189041	0.210326	0.4586131
0.18938	0.199278	0.4464056
0.189719	0.191306	0.4373854
0.190058	0.185741	0.4309768
0.190397	0.179854	0.424092
0.190736	0.170414	0.4128123
0.191076	0.162304	0.4028697
0.191415	0.159931	0.3999138
0.191754	0.153578	0.3918903
0.192093	0.149233	0.3863069
0.192432	0.143682	0.3790541
0.192771	0.137667	0.371035
0.19311	0.132978	0.3646615
0.193449	0.134598	0.366876
0.193788	0.129078	0.3592743
0.194127	0.123254	0.3510755
0.194466	0.122453	0.3499328
0.194805	0.119416	0.3455662
0.195145	0.11776	0.3431618
0.195484	0.119783	0.3460968
0.195823	0.116256	0.3409633
0.196162	0.118619	0.3444111
0.196501	0.122024	0.3493193
0.19684	0.117135	0.3422499
0.197179	0.113731	0.3372403
0.197518	0.110121	0.3318448
0.197857	0.109489	0.3308912
0.198196	0.112192	0.3349507
0.198535	0.114576	0.3384908
0.198874	0.109384	0.3307325
0.199214	0.115052	0.3391932
0.199553	0.116026	0.3406259
0.199892	0.117437	0.3426908
0.200231	0.117203	0.3423492
0.20057	0.115864	0.340388
0.200909	0.113515	0.3369199
0.201248	0.120356	0.3469236
0.201587	0.12288	0.3505424
0.201926	0.122317	0.3497385
0.202265	0.13004	0.3606106
0.202604	0.135857	0.3685879
0.202943	0.137379	0.3706467
0.203283	0.133953	0.3659959
0.203622	0.134989	0.3674085
0.203961	0.137041	0.3701905
0.2043	0.139884	0.3740107
0.204639	0.146672	0.3829778
0.204978	0.144672	0.3803577
0.205317	0.145655	0.3816478
0.205656	0.147072	0.3834997
0.205995	0.147571	0.3841497
0.206334	0.150078	0.387399
0.206673	0.150145	0.3874855
0.207012	0.15519	0.3939416
0.207352	0.159048	0.3988082
0.207691	0.159075	0.3988421
0.20803	0.159288	0.399109
0.208369	0.159511	0.3993883
0.208708	0.156504	0.3956059
0.209047	0.158537	0.398167
0.209386	0.161897	0.4023643
0.209725	0.159873	0.3998412
0.210064	0.158529	0.398157
0.210403	0.161482	0.4018482
0.210742	0.159056	0.3988183
0.211082	0.16358	0.4044502
0.211421	0.162944	0.4036632
0.21176	0.15846	0.3980704
0.212099	0.158478	0.398093
0.212438	0.160792	0.4009888
0.212777	0.156842	0.3960328
0.213116	0.150192	0.3875461
0.213455	0.150046	0.3873577
0.213794	0.147164	0.3836196
0.214133	0.148616	0.3855075
0.214472	0.147323	0.3838268
0.214811	0.142339	0.3772784
0.21515	0.136136	0.3689661
0.21549	0.137097	0.3702661
0.215829	0.135435	0.3680149
0.216168	0.129815	0.3602985
0.216507	0.126321	0.3554167
0.216846	0.124097	0.352274
0.217185	0.120061	0.3464982
0.217524	0.116127	0.3407741
0.217863	0.114764	0.3387684
0.218202	0.113492	0.3368857
0.218541	0.107346	0.327637
0.21888	0.101846	0.3191332
0.219219	0.0985011	0.3138489
0.219559	0.0959631	0.3097791
0.219898	0.0938342	0.3063237
0.220237	0.0946284	0.3076173
0.220576	0.0896156	0.2993586
0.220915	0.0841873	0.2901505
0.221254	0.0801065	0.2830309
0.221593	0.0796563	0.2822345
0.221932	0.075744	0.2752163
0.222271	0.0719982	0.2683248
0.22261	0.0751314	0.2741011
0.222949	0.0699339	0.2644502
0.223289	0.067416	0.2596459
0.223628	0.0673736	0.2595643
0.223967	0.067223	0.259274
0.224306	0.0650309	0.2550116
0.224645	0.0639201	0.2528242
0.224984	0.0628337	0.2506665
0.225323	0.0586562	0.2421904
0.225662	0.0558041	0.2362289
0.226001	0.0591926	0.2432953
0.22634	0.0617518	0.2484991
0.226679	0.0580629	0.2409624
0.227018	0.0590242	0.242949
0.227358	0.0562496	0.23717
0.227697	0.0523465	0.2287936
0.228036	0.0549288	0.2343689
0.228375	0.0556347	0.2358701
0.228714	0.0563635	0.23741
0.229053	0.0605572	0.2460837
0.229392	0.0604541	0.2458742
0.229731	0.0615476	0.2480879
0.23007	0.0622826	0.2495648
0.230409	0.0628706	0.2507401
0.230748	0.0636906	0.25237
0.231087	0.0653762	0.2556877
0.231427	0.0637882	0.2525633
0.231766	0.0635682	0.2521273
0.232105	0.0624381	0.2498762
0.232444	0.0661846	0.2572637
0.232783	0.0737776	0.2716203
0.233122	0.0726174	0.2694761
0.233461	0.0748944	0.2736684
0.2338	0.0715757	0.2675363
0.234139	0.0717015	0.2677714
0.234478	0.0744789	0.2729082
0.234817	0.073261	0.2706677
0.235156	0.0755231	0.2748147
0.235495	0.0767225	0.2769883
0.235835	0.0786822	0.2805035
0.236174	0.076243	0.2761213
0.236513	0.0798415	0.2825624
0.236852	0.0809282	0.2844788
0.237191	0.0871371	0.2951899
0.23753	0.0822336	0.286764
0.237869	0.0793474	0.2816867
0.238208	0.0836548	0.2892314
0.238547	0.0830106	0.2881156
0.238886	0.0827791	0.2877136
0.239225	0.0866238	0.2943192
0.239564	0.0896675	0.2994453
0.239904	0.0893653	0.2989403
0.240243	0.0874514	0.2957218
0.240582	0.0919205	0.3031839
0.240921	0.0936376	0.3060026
0.24126	0.0903675	0.3006119
0.241599	0.0895323	0.2992195
0.241938	0.0943041	0.3070897
0.242277	0.087637	0.2960355
0.242616	0.0852356	0.2919514
0.242955	0.0859228	0.2931259
0.243294	0.0847973	0.2911998
0.243633	0.0811656	0.2848958
0.243973	0.0819703	0.2863046
0.244312	0.0799563	0.2827654
0.244651	0.0809086	0.2844444
0.24499	0.0835505	0.289051
0.245329	0.0847191	0.2910655
0.245668	0.0805889	0.2838818
0.246007	0.0799899	0.2828249
0.246346	0.0786894	0.2805163
0.246685	0.0741726	0.2723465
0.247024	0.0784482	0.2800861
0.247363	0.078021	0.2793224
0.247702	0.0718322	0.2680153
0.248042	0.0679506	0.2606733
0.248381	0.0678071	0.260398
0.24872	0.0636413	0.2522723
0.249059	0.0665202	0.2579151
0.249398	0.0676808	0.2601553
0.249737	0.0648408	0.2546386
0.250076	0.0618499	0.2486964
0.250415	0.0566427	0.2379973
0.250754	0.0592636	0.2434412
0.251093	0.057935	0.2406969
0.251432	0.0553217	0.2352057
0.251771	0.0558855	0.2364011
0.252111	0.0541948	0.2327978
0.25245	0.0538	0.2319483
0.252789	0.0566483	0.238009
0.253128	0.0564262	0.237542
0.253467	0.0527533	0.2296809
0.253806	0.0531017	0.2304381
0.254145	0.0516433	0.2272516
0.254484	0.0537373	0.2318131
0.254823	0.0517291	0.2274403
0.255162	0.0436318	0.2088823
0.255501	0.0450859	0.2123344
0.25584	0.047225	0.2173131
0.25618	0.0482418	0.2196402
0.256519	0.0455994	0.2135402
0.256858	0.0452264	0.212665
0.257197	0.0434916	0.2085464
0.257536	0.0427409	0.2067387
0.257875	0.0444072	0.2107302
0.258214	0.0407614	0.2018945
0.258553	0.0424682	0.2060781
0.258892	0.0473413	0.2175806
0.259231	0.0464831	0.2155994
0.25957	0.0436479	0.2089208
0.259909	0.0458802	0.2141966
0.260248	0.0472002	0.2172561
0.260588	0.0484289	0.2200657
0.260927	0.0432474	0.2079601
0.261266	0.0456317	0.2136158
0.261605	0.0458105	0.2140339
0.261944	0.0451987	0.2125999
0.262283	0.0483324	0.2198463
0.262622	0.0469732	0.216733
0.262961	0.0465072	0.2156553
0.2633	0.0457971	0.2140026
0.263639	0.0457799	0.2139624
0.263978	0.0518293	0.2276605
0.264317	0.0522213	0.2285198
0.264657	0.0512581	0.2264025
0.264996	0.0518776	0.2277665
0.265335	0.0496759	0.2228809
0.265674	0.0484951	0.220216
0.266013	0.0504553	0.2246226
0.266352	0.0522596	0.2286036
0.266691	0.0534769	0.2312507
0.26703	0.0539407	0.2322514
0.267369	0.054984	0.2344867
0.267708	0.0527888	0.2297581
0.268047	0.0585331	0.2419361
0.268386	0.0565942	0.2378954
0.268726	0.0581141	0.2410687
0.269065	0.0575384	0.2398716
0.269404	0.0551621	0.2348661
0.269743	0.0560989	0.2368521
0.270082	0.0567757	0.2382765
0.270421	0.0558091	0.2362395
0.27076	0.0567506	0.2382238
0.271099	0.0576864	0.2401799
0.271438	0.0581674	0.2411792
0.271777	0.0582116	0.2412708
0.272116	0.053543	0.2313936
0.272455	0.0518766	0.2277644
0.272795	0.0572006	0.2391665
0.273134	0.0559189	0.2364718
0.273473	0.0565765	0.2378582
0.273812	0.0525224	0.2291777
0.274151	0.0571449	0.23905
0.27449	0.0555297	0.2356474
0.274829	0.0528853	0.229968
0.275168	0.0556223	0.2358438
0.275507	0.0554631	0.2355061
0.275846	0.0500181	0.2236473
0.276185	0.049032	0.2214317
0.276524	0.046651	0.2159884
0.276863	0.0499033	0.2233905
0.277203	0.0515319	0.2270064
0.277542	0.0504535	0.2246186
0.277881	0.0466991	0.2160997
0.27822	0.0426131	0.2064294
0.278559	0.0420345	0.2050232
0.278898	0.0434785	0.208515
0.279237	0.0458974	0.2142368
0.279576	0.0439242	0.209581
0.279915	0.042415	0.205949
0.280254	0.0444839	0.2109121
0.280593	0.0433446	0.2081937
0.280932	0.0414406	0.2035696
0.281272	0.0363616	0.1906872
0.281611	0.0399851	0.1999628
0.28195	0.0408891	0.2022105
0.282289	0.0389029	0.1972382
0.282628	0.0396033	0.1990058
0.282967	0.03687	0.1920156
0.283306	0.0354207	0.1882039
0.283645	0.0356466	0.1888031
0.283984	0.0379382	0.1947773
0.284323	0.0354609	0.1883107
0.284662	0.035614	0.1887167
0.285001	0.0367258	0.1916398
0.28534	0.0358865	0.1894373
0.28568	0.0369025	0.1921002
0.286019	0.0371322	0.1926972
0.286358	0.0338727	0.1840454
0.286697	0.0342745	0.1851337
0.287036	0.0332144	0.1822482
0.287375	0.0313444	0.1770435
0.287714	0.0300792	0.1734336
0.288053	0.0301626	0.1736738
0.288392	0.0332218	0.1822685
0.288731	0.0311816	0.1765831
0.28907	0.0312951	0.1769042
0.289409	0.0318906	0.1785794
0.289749	0.0327884	0.1810757
0.290088	0.0307915	0.1754751
0.290427	0.0313441	0.1770426
0.290766	0.0303403	0.1741847
0.291105	0.0317726	0.1782487
0.291444	0.032784	0.1810635
0.291783	0.0316754	0.1779758
0.292122	0.0275076	0.1658542
0.292461	0.0273668	0.1654291
0.2928	0.0311643	0.1765341
